Date,Portfolio_Value,Regime,Holdings
2017-12-26,104308.01359248265,0.0,{'BIL': 1.0}
2017-12-27,104330.77964472874,0.0,{'BIL': 1.0}
2017-12-28,104330.77964472874,0.0,{'BIL': 1.0}
2017-12-29,104308.01359248265,0.0,{'BIL': 1.0}
2018-01-02,104319.38596034153,0.0,{'BIL': 1.0}
2018-01-03,104342.18398738011,0.0,{'BIL': 1.0}
2018-01-04,104353.64162135228,0.0,{'BIL': 1.0}
2018-01-05,104353.64162135228,0.0,{'BIL': 1.0}
2018-01-08,104365.003330947,0.0,{'BIL': 1.0}
2018-01-09,104365.003330947,0.0,{'BIL': 1.0}
2018-01-10,104365.003330947,0.0,{'BIL': 1.0}
2018-01-11,104353.64162135228,0.0,{'BIL': 1.0}
2018-01-12,104387.85464930638,0.0,{'BIL': 1.0}
2018-01-16,104365.003330947,0.0,{'BIL': 1.0}
2018-01-17,104387.85464930638,0.0,{'BIL': 1.0}
2018-01-18,104387.85464930638,0.0,{'BIL': 1.0}
2018-01-19,104399.25899195774,0.0,{'BIL': 1.0}
2018-01-22,104410.69530940159,0.0,{'BIL': 1.0}
2018-01-23,104410.69530940159,0.0,{'BIL': 1.0}
2018-01-24,104422.09965205296,0.0,{'BIL': 1.0}
2018-01-25,104422.09965205296,0.0,{'BIL': 1.0}
2018-01-26,104444.84438777073,0.0,{'BIL': 1.0}
2018-01-29,104422.09965205296,0.0,{'BIL': 1.0}
2018-01-30,104433.482678176,0.0,{'BIL': 1.0}
2018-01-31,104444.84438777073,0.0,{'BIL': 1.0}
2018-02-01,104440.28265071019,0.0,{'BIL': 1.0}
2018-02-02,104451.75094294651,0.0,{'BIL': 1.0}
2018-02-05,104440.28265071019,0.0,{'BIL': 1.0}
2018-02-06,104451.75094294651,0.0,{'BIL': 1.0}
2018-02-07,104463.1233108054,0.0,{'BIL': 1.0}
2018-02-08,104451.75094294651,0.0,{'BIL': 1.0}
2018-02-09,104474.52765345677,0.0,{'BIL': 1.0}
2018-02-12,104474.52765345677,0.0,{'BIL': 1.0}
2018-02-13,104474.52765345677,0.0,{'BIL': 1.0}
2018-02-14,104474.52765345677,0.0,{'BIL': 1.0}
2018-02-15,104486.03857874974,0.0,{'BIL': 1.0}
2018-02-16,104497.3896300803,0.0,{'BIL': 1.0}
2018-02-20,104497.3896300803,0.0,{'BIL': 1.0}
2018-02-21,104486.03857874974,0.0,{'BIL': 1.0}
2018-02-22,104497.3896300803,0.0,{'BIL': 1.0}
2018-02-23,104520.28358149632,0.0,{'BIL': 1.0}
2018-02-26,104497.3896300803,0.0,{'BIL': 1.0}
2018-02-27,104520.28358149632,0.0,{'BIL': 1.0}
2018-02-28,104531.68792414769,0.0,{'BIL': 1.0}
2018-03-01,104541.97314906224,0.0,{'BIL': 1.0}
